Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Description box should not contain special and numeric characters,EL-138,10228,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 1:50 PM,21/Feb/22 1:51 PM,21/Feb/22 1:52 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-133,EL-6,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzw,,,,,EL Sprint 1,,,,,,,,To Do
Verify that the size button name is showing correctly or not,EL-137,10227,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:36 PM,21/Feb/22 1:46 PM,21/Feb/22 1:38 PM,21/Feb/22 1:46 PM,,0,Verify that the button name is showing correctly or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzx,,,,,EL Sprint 1,,,,,,,,Done
Verify that the confirmation message is displayed after clicking the send button,EL-136,10226,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:36 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify that the confirmation message is displayed after clicking the send button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzp9,,,,,EL Sprint 1,,,,,,,,Done
Verify the send message button size,EL-135,10225,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:46 PM,21/Feb/22 1:56 PM,21/Feb/22 1:46 PM,,0,Verify the send message button size,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzqi,,,,,EL Sprint 1,,,,,,,,Done
Verify the send message button type,EL-134,10224,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify the send message button type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzpi,,,,,EL Sprint 1,,,,,,,,Done
Verify the description box type with special and numeric characters,EL-133,10223,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:50 PM,21/Feb/22 1:56 PM,,,0,Verify the description box type with special and numeric characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzpr,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the description box type,EL-132,10222,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify the description box type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzpm,,,,,EL Sprint 1,,,,,,,,Done
Verify that the add one more file is clickable,EL-131,10221,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:47 PM,21/Feb/22 1:37 PM,21/Feb/22 1:47 PM,,0,Verify that the add one more file is clickable,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzp,,,,,EL Sprint 1,,,,,,,,Done
Verify that the maximum size of file is 20mb,EL-130,10220,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:47 PM,21/Feb/22 1:56 PM,21/Feb/22 1:47 PM,,0,Verify that the maximum size of file is 20mb,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzq,,,,,EL Sprint 1,,,,,,,,Done
Verify that the selected file name is visible,EL-129,10219,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify that the selected file name is visible,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzoi,,,,,EL Sprint 1,,,,,,,,Done
